Time,Frequency,dBFS
0.0464399,4134.38,-inf
0.0464399,4177.44,-inf
0.0464399,4220.51,-inf
0.0464399,4263.57,-inf
0.0464399,4306.64,-inf
0.0464399,4349.71,-inf
0.0464399,4392.77,-inf
0.0464399,4435.84,-inf
0.0464399,4478.91,-inf
0.0464399,4521.97,-inf
0.0464399,4565.04,-inf
0.0464399,4608.11,-inf
0.0464399,4651.17,-inf
0.0464399,4694.24,-inf
0.0464399,4737.3,-inf
0.0464399,4780.37,-inf
0.0464399,4823.44,-inf
0.0464399,4866.5,-inf
0.0464399,4909.57,-inf
0.0464399,4952.64,-inf
0.0464399,4995.7,-inf
0.0464399,5038.77,-inf
0.0464399,5081.84,-inf
0.0464399,5124.9,-inf
0.0464399,5167.97,-inf
0.0464399,5211.04,-inf
0.0464399,5254.1,-inf
0.0464399,5297.17,-inf
0.0464399,5340.23,-inf
0.0464399,5383.3,-inf
0.0464399,5426.37,-inf
0.0464399,5469.43,-inf
0.0464399,5512.5,-inf
0.0580499,0,-inf
0.0580499,43.0664,-inf
0.0580499,86.1328,-inf
0.0580499,129.199,-inf
0.0580499,172.266,-inf
0.0580499,215.332,-inf
0.0580499,258.398,-inf
0.0580499,301.465,-inf
0.0580499,344.531,-inf
0.0580499,387.598,-inf
0.0580499,430.664,-inf
0.0580499,473.73,-inf
0.0580499,516.797,-inf
0.0580499,559.863,-inf
0.0580499,602.93,-inf
0.0580499,645.996,-inf
0.0580499,689.062,-inf
0.0580499,732.129,-inf
0.0580499,775.195,-inf
0.0580499,818.262,-inf
0.0580499,861.328,-inf
0.0580499,904.395,-inf
0.0580499,947.461,-inf
0.0580499,990.527,-inf
0.0580499,1033.59,-inf
0.0580499,1076.66,-inf
0.0580499,1119.73,-inf
0.0580499,1162.79,-inf
0.0580499,1205.86,-inf
0.0580499,1248.93,-inf
0.0580499,1291.99,-inf
0.0580499,1335.06,-inf
0.0580499,1378.12,-inf
0.0580499,1421.19,-inf
0.0580499,1464.26,-inf
0.0580499,1507.32,-inf
0.0580499,1550.39,-inf
0.0580499,1593.46,-inf
0.0580499,1636.52,-inf
0.0580499,1679.59,-inf
0.0580499,1722.66,-inf
0.0580499,1765.72,-inf
0.0580499,1808.79,-inf
0.0580499,1851.86,-inf
0.0580499,1894.92,-inf
0.0580499,1937.99,-inf
0.0580499,1981.05,-inf
0.0580499,2024.12,-inf
0.0580499,2067.19,-inf
0.0580499,2110.25,-inf
0.0580499,2153.32,-inf
0.0580499,2196.39,-inf
0.0580499,2239.45,-inf
0.0580499,2282.52,-inf
0.0580499,2325.59,-inf
0.0580499,2368.65,-inf
0.0580499,2411.72,-inf
0.0580499,2454.79,-inf
0.0580499,2497.85,-inf
0.0580499,2540.92,-inf
0.0580499,2583.98,-inf
0.0580499,2627.05,-inf
0.0580499,2670.12,-inf
0.0580499,2713.18,-inf
0.0580499,2756.25,-inf
0.0580499,2799.32,-inf
0.0580499,2842.38,-inf
0.0580499,2885.45,-inf
0.0580499,2928.52,-inf
0.0580499,2971.58,-inf
0.0580499,3014.65,-inf
0.0580499,3057.71,-inf
0.0580499,3100.78,-inf
0.0580499,3143.85,-inf
0.0580499,3186.91,-inf
0.0580499,3229.98,-inf
0.0580499,3273.05,-inf
0.0580499,3316.11,-inf
0.0580499,3359.18,-inf
0.0580499,3402.25,-inf
0.0580499,3445.31,-inf
0.0580499,3488.38,-inf
0.0580499,3531.45,-inf
0.0580499,3574.51,-inf
0.0580499,3617.58,-inf
0.0580499,3660.64,-inf
0.0580499,3703.71,-inf
0.0580499,3746.78,-inf
0.0580499,3789.84,-inf
0.0580499,3832.91,-inf
0.0580499,3875.98,-inf
0.0580499,3919.04,-inf
0.0580499,3962.11,-inf
0.0580499,4005.18,-inf
0.0580499,4048.24,-inf
0.0580499,4091.31,-inf
0.0580499,4134.38,-inf
0.0580499,4177.44,-inf
0.0580499,4220.51,-inf
0.0580499,4263.57,-inf
0.0580499,4306.64,-inf
0.0580499,4349.71,-inf
0.0580499,4392.77,-inf
0.0580499,4435.84,-inf
0.0580499,4478.91,-inf
0.0580499,4521.97,-inf
0.0580499,4565.04,-inf
0.0580499,4608.11,-inf
0.0580499,4651.17,-inf
0.0580499,4694.24,-inf
0.0580499,4737.3,-inf
0.0580499,4780.37,-inf
0.0580499,4823.44,-inf
0.0580499,4866.5,-inf
0.0580499,4909.57,-inf
0.0580499,4952.64,-inf
0.0580499,4995.7,-inf
0.0580499,5038.77,-inf
0.0580499,5081.84,-inf
0.0580499,5124.9,-inf
0.0580499,5167.97,-inf
0.0580499,5211.04,-inf
0.0580499,5254.1,-inf
0.0580499,5297.17,-inf
0.0580499,5340.23,-inf
0.0580499,5383.3,-inf
0.0580499,5426.37,-inf
0.0580499,5469.43,-inf
0.0580499,5512.5,-inf
0.0696599,0,-136.101
0.0696599,43.0664,-133.484
0.0696599,86.1328,-129.084
0.0696599,129.199,-125.669
0.0696599,172.266,-123.693
0.0696599,215.332,-123.172
0.0696599,258.398,-124.225
0.0696599,301.465,-127.351
0.0696599,344.531,-134.291
0.0696599,387.598,-136.694
0.0696599,430.664,-129.568
0.0696599,473.73,-126.423
0.0696599,516.797,-124.785
0.0696599,559.863,-123.694
0.0696599,602.93,-122.913
0.0696599,645.996,-122.489
0.0696599,689.062,-122.29
0.0696599,732.129,-121.871
0.0696599,775.195,-120.944
0.0696599,818.262,-119.779
0.0696599,861.328,-118.72
0.0696599,904.395,-117.826
0.0696599,947.461,-117.051
0.0696599,990.527,-116.5
0.0696599,1033.59,-116.436
0.0696599,1076.66,-117.157
0.0696599,1119.73,-118.902
0.0696599,1162.79,-121.612
0.0696599,1205.86,-123.598
0.0696599,1248.93,-122.655
0.0696599,1291.99,-121.196
0.0696599,1335.06,-120.706
0.0696599,1378.12,-121.054
0.0696599,1421.19,-121.808
0.0696599,1464.26,-122.883
0.0696599,1507.32,-125.007
0.0696599,1550.39,-130.098
0.0696599,1593.46,-136.391
0.0696599,1636.52,-126.647
0.0696599,1679.59,-122.355
0.0696599,1722.66,-120.708
0.0696599,1765.72,-120.787
0.0696599,1808.79,-122.227
0.0696599,1851.86,-124.48
0.0696599,1894.92,-126.118
0.0696599,1937.99,-126.347
0.0696599,1981.05,-126.473
0.0696599,2024.12,-126.908
0.0696599,2067.19,-126.546
0.0696599,2110.25,-125.138
0.0696599,2153.32,-123.959
0.0696599,2196.39,-123.777
0.0696599,2239.45,-124.844
0.0696599,2282.52,-127.372
0.0696599,2325.59,-131.546
0.0696599,2368.65,-134.862
0.0696599,2411.72,-132.461
0.0696599,2454.79,-129.792
0.0696599,2497.85,-128.207
0.0696599,2540.92,-127.457
0.0696599,2583.98,-127.722
0.0696599,2627.05,-129.734
0.0696599,2670.12,-135.964
0.0696599,2713.18,-140.859
